ID,user,course,enrollmentDate,progress,status
1,22,9,11/06/2024,57,Enrolled
2,22,27,11/06/2024,78,Enrolled
3,22,7,11/06/2024,37,Dropped
4,23,17,11/06/2024,44,Completed
5,23,10,11/06/2024,41,Enrolled
6,23,21,11/06/2024,15,Enrolled
7,24,21,11/06/2024,53,Enrolled
8,24,18,11/06/2024,58,Completed
9,24,9,11/06/2024,55,Completed
10,25,8,11/06/2024,82,Completed
11,25,1,11/06/2024,56,Enrolled
12,25,20,11/06/2024,84,Enrolled
13,26,10,11/06/2024,20,Enrolled
14,26,6,11/06/2024,61,Completed
15,26,4,11/06/2024,88,Completed
16,27,16,11/06/2024,32,Dropped
17,27,6,11/06/2024,13,Dropped
18,27,28,11/06/2024,64,Enrolled
19,28,29,11/06/2024,31,Enrolled
20,28,19,11/06/2024,80,Completed
21,28,3,11/06/2024,70,Enrolled
22,29,24,11/06/2024,100,Completed
23,29,18,11/06/2024,80,Completed
24,29,25,11/06/2024,86,Completed
25,30,14,11/06/2024,50,Completed
26,30,18,11/06/2024,60,Enrolled
27,30,16,11/06/2024,84,Dropped
28,31,28,11/06/2024,49,Dropped
29,31,19,11/06/2024,47,Completed
30,31,7,11/06/2024,39,Completed
31,32,23,11/06/2024,39,Completed
32,32,16,11/06/2024,27,Enrolled
33,32,8,11/06/2024,96,Enrolled
34,33,11,11/06/2024,73,Completed
35,33,15,11/06/2024,87,Dropped
36,33,6,11/06/2024,67,Enrolled
37,34,20,11/06/2024,36,Enrolled
38,34,16,11/06/2024,88,Enrolled
39,34,4,11/06/2024,18,Enrolled
40,35,6,11/06/2024,12,Enrolled
41,35,1,11/06/2024,74,Dropped
42,35,7,11/06/2024,18,Completed
43,36,25,11/06/2024,93,Completed
44,36,24,11/06/2024,63,Enrolled
45,36,21,11/06/2024,92,Enrolled
46,37,4,11/06/2024,11,Dropped
47,37,18,11/06/2024,83,Dropped
48,37,7,11/06/2024,34,Dropped
49,38,16,11/06/2024,61,Completed
50,38,28,11/06/2024,62,Enrolled
51,38,8,11/06/2024,11,Enrolled
52,39,27,11/06/2024,49,Enrolled
53,39,6,11/06/2024,9,Dropped
54,39,21,11/06/2024,63,Enrolled
55,40,17,11/06/2024,12,Completed
56,40,19,11/06/2024,13,Completed
57,40,11,11/06/2024,14,Enrolled
58,41,9,11/06/2024,58,Dropped
59,41,17,11/06/2024,13,Enrolled
60,41,14,11/06/2024,70,Completed
